FileSize(Bytes),FileSize(Human),Lines,Mode,LatencyFirstByte(ms),TransferTimePerWorker(s),TotalTransferTime(s),Throughput(MB/s),AllWorkersCount
11888950,12M,100000,SCP,419.26,.396,1.188,28.63,3
24888950,24M,200000,SCP,280.27,.278,.835,85.27,3
63888950,61M,500000,SCP,334.11,.365,1.095,166.92,3
128888960,123M,1000000,SCP,459.93,.512,1.537,239.91,3
268888960,257M,2000000,SCP,714.23,.794,2.382,322.96,3
408888960,390M,3000000,SCP,1408.49,1.115,3.347,349.51,3
548888960,524M,4000000,SCP,1236.87,1.418,4.256,368.98,3
688888960,657M,5000000,SCP,2227.62,1.688,5.065,389.12,3
828888960,791M,6000000,SCP,1779.05,2.045,6.136,386.48,3
968888960,925M,7000000,SCP,3060.59,2.350,7.050,393.19,3
1108888960,1.1G,8000000,SCP,3351.52,2.600,7.801,406.68,3
1248888960,1.2G,9000000,SCP,2525.34,2.946,8.838,404.28,3
1388888970,1.3G,10000000,SCP,2870.07,3.258,9.774,406.55,3
11888950,12M,100000,NFS,4.20,.005,.017,2000.85,3
24888950,24M,200000,NFS,3.81,.007,.023,3095.99,3
63888950,61M,500000,NFS,3.90,.014,.044,4154.26,3
128888960,123M,1000000,NFS,4.59,.026,.079,4667.77,3
268888960,257M,2000000,NFS,4.29,.052,.156,4931.39,3
408888960,390M,3000000,NFS,4.05,.076,.230,5086.26,3
548888960,524M,4000000,NFS,4.37,.084,.253,6207.05,3
688888960,657M,5000000,NFS,3.70,.127,.383,5146.02,3
828888960,791M,6000000,NFS,3.78,.126,.379,6257.17,3
968888960,925M,7000000,NFS,3.83,.151,.455,6092.33,3
1108888960,1.1G,8000000,NFS,3.54,.204,.613,5175.45,3
1248888960,1.2G,9000000,NFS,4.62,.163,.489,7306.95,3
1388888970,1.3G,10000000,NFS,3.89,.261,.784,5068.42,3
