FileSize(Bytes),FileSize(Human),Lines,Mode,LatencyFirstByte(ms),TransferTimePerWorker(s),TotalTransferTime(s),Throughput(MB/s),AllWorkersCount
80,4.0K,1,SCP,383.06,.362,1.086,0,3
160,4.0K,2,SCP,220.04,.221,.663,0,3
240,4.0K,3,SCP,224.22,.223,.670,0,3
320,4.0K,4,SCP,237.68,.222,.667,0,3
400,4.0K,5,SCP,232.47,.223,.671,0,3
480,4.0K,6,SCP,224.80,.220,.662,0,3
560,4.0K,7,SCP,223.61,.223,.671,0,3
640,4.0K,8,SCP,221.35,.219,.658,0,3
720,4.0K,9,SCP,227.92,.221,.665,0,3
810,4.0K,10,SCP,227.55,.223,.670,0,3
80,4.0K,1,NFS,4.29,.002,.008,.02,3
160,4.0K,2,NFS,4.26,.003,.009,.04,3
240,4.0K,3,NFS,3.80,.002,.007,.08,3
320,4.0K,4,NFS,3.64,.002,.007,.12,3
400,4.0K,5,NFS,3.56,.002,.007,.15,3
480,4.0K,6,NFS,3.82,.002,.007,.18,3
560,4.0K,7,NFS,4.80,.002,.007,.22,3
640,4.0K,8,NFS,3.28,.002,.007,.25,3
720,4.0K,9,NFS,4.02,.002,.007,.28,3
810,4.0K,10,NFS,3.68,.002,.008,.28,3
